id	Case1	Case2	Case3	Control1	Control2	Control3	Treat1	Treat2	Treat3
ENSG00000000003.14	4.98	4.7	4.5	5.98	6.44	5.82	5.3	5.69	5.65
ENSG00000000419.12	97.52	96.41	105.09	88.81	94.59	88.7	84.91	73.59	84.26
ENSG00000000457.13	2.22	1.97	2.13	4.12	3.82	3.98	4.79	4.48	3.71
ENSG00000000460.16	21.95	15.9	17.43	21.73	20.66	19.75	17.52	20.31	19.11
ENSG00000000938.12	0.19	0.16	0.09	0.11	0.02	0.71	0.11	0.07	0.05
ENSG00000000971.15	4.27	3.11	4.22	4.94	4.29	3.97	5.97	5.37	5.68
ENSG00000001036.13	85.74	84.45	89.51	70.81	72.76	74.53	79.15	78.2	82.09
ENSG00000001084.11	62.63	64.19	63.07	56.92	55.34	58.75	78	76.55	79.59
ENSG00000001167.14	19	19.66	20.29	16.93	16.14	16.74	19.76	19.59	20.72
ENSG00000001460.17	5.67	6.91	4.66	6.21	5.95	6.01	7.48	7.26	7.92
ENSG00000001461.16	18.66	18.97	20.64	21.19	20.36	21.03	19.17	23.05	19.78
ENSG00000001497.16	111.33	107.15	112.84	94.32	90.07	90.47	86.93	85.7	81.03
ENSG00000001561.6	0	0	0	0	0.01	0.03	0	0	0
ENSG00000001617.11	43.37	45.44	41.77	54.89	53.6	57.82	33.44	41.16	35.49
ENSG00000001626.14	0.07	0.15	0.27	0.04	0.01	0.03	0.04	0.1	0.01
ENSG00000001629.9	27.31	27.7	30.82	21.87	26.66	23.73	18.56	19.96	22.31
ENSG00000001630.15	35.94	34.11	36.74	37.65	41.32	36.23	33.24	33.84	33.3
ENSG00000001631.15	27.99	27.12	27.1	27.27	31.88	27.64	34.65	26.01	28.1
ENSG00000002016.17	16.95	11.82	12.78	9.13	14.3	11.99	15.71	15.26	14.44
ENSG00000002079.14	0.08	0.02	0.07	0.02	0.06	0.07	0.02	0.07	0.54
ENSG00000002330.13	75.05	70.29	67.46	67.67	60.12	70.07	48.01	47.55	43.13
ENSG00000002549.12	20.52	24.63	25.1	14.02	15.69	15.81	21.28	20.68	21.51
ENSG00000002586.19	36.76	40.82	38.83	39.63	39.39	44.31	46.17	49.04	55.17
ENSG00000002586.19_PAR_Y	36.76	40.82	38.83	39.63	39.39	44.31	46.17	49.04	55.17
ENSG00000002587.9	0.1	0.11	0.13	0.25	0.17	0.54	0.3	0.31	0.36
ENSG00000002726.20	1.48	1.45	1.1	2.03	1.78	1.81	1.58	1.15	1.24
ENSG00000002745.12	0.03	0	0.08	0	0	0	0.09	0	0.09
ENSG00000002746.14	8.26	6.02	6.56	6.84	5.52	5.74	5.94	7.07	9.54
ENSG00000002822.15	26.99	19.56	30.43	20.4	19.95	17.99	21.87	24.59	19.84
